Index,Manufacturer Part Number,Manufacturer Name,Description,Quantity,Digi-Key Part Number,Unit Price,Extended Price,Datasheet,Reference Designator,,,,
1,C0805X475K025T,"Holy Stone Enterprise Co., Ltd.",CAP CER 4.7UF 25V X7R 0805,2,4587-C0805X475K025TCT-ND,0.35000,$0.70,https://www.holystonecaps.com/PDF/201612051328350.2017%20HCC%20Series.pdf,"C2, C26",,,,
2,CC0805JKX7R8BB105,YAGEO,CAP CER 1UF 25V X7R 0805,4,13-CC0805JKX7R8BB105CT-ND,0.19000,$0.76,https://yageogroup.com/content/datasheet/asset/file/UPY-GPHC_X7R_6_3V-TO-250V,"C3, C18, C22, C24",,,,
3,CL21B104KACNFNC,Samsung Electro-Mechanics,CAP CER 0.1UF 25V X7R 0805,13,1276-2442-1-ND,0.03500,$0.46,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/658/CL21B104KACNFNC_Spec.pdf,"C4, C5, C13, C14, C15, C19, C23, C27, C28, C29, C30, C31, C34",,,,
4,GCM21B5C2E332FX01L,Murata Electronics,CAP CER 3300PF 250V C0G/NP0 0805,1,490-GCM21B5C2E332FX01LCT-ND,0.81000,$0.81,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM21B5C2E332FX01-00B.pdf,C6,,,,
5,GMC21CG152G50NT,"Cal-Chip Electronics, Inc.",CAP0805 COG 1500PF 2% 50V,1,4713-GMC21CG152G50NTCT-ND,0.25000,$0.25,https://calchip.com/wp-content/uploads/2026/04/GMC-Series-1.pdf,C7,,,,
6,R82DC4100DQ60J,KEMET,CAP FILM 1UF 5% 63VDC RADIAL,1,399-5447-1-ND,0.93000,$0.93,https://yageogroup.com/content/datasheet/asset/file/KEM_F3101_R82,C8,,,,
7,0805N102J500CT,Walsin Technology Corporation,CAP CER 1000PF 50V C0G/NP0 0805,1,1292-1591-1-ND,0.15000,$0.15,https://www.passivecomponent.com/wp-content/uploads/datasheet/WTC_MLCC_General_Purpose.pdf,C9,,,,
8,GMC21CG122F50NT,"Cal-Chip Electronics, Inc.",CAP0805 COG 1200PF 1% 50V,1,4713-GMC21CG122F50NTCT-ND,0.46000,$0.46,https://calchip.com/wp-content/uploads/2026/04/GMC-Series-1.pdf,C10,,,,
9,CC0805FRNPO9BN471,YAGEO,CAP CER 470PF 50V C0G/NPO 0805,1,311-4178-1-ND,0.37000,$0.37,https://www.yageo.com/en/Chart/Download/pdf/CC0805FRNPO9BN471,C11,,,,
10,CL21B106KPQNNNG,Samsung Electro-Mechanics,CAP CER 10UF 10V X7R 0805,1,1276-6473-1-ND,0.25000,$0.25,http://www.samsungsem.com/kr/support/product-search/mlcc/CL21B106KPQNNNG.jsp,C12,,,,
11,EEE-FK1E100R,Panasonic Industry,CAP ALUM 10UF 20% 25V SMD,1,PCE3795CT-ND,0.58000,$0.58,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1181.pdf,C16,,,,
12,GRM2195C2A682JA01D,Murata Electronics,CAP CER MLCC,1,490-GRM2195C2A682JA01DCT-ND,0.15000,$0.15,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM2195C2A682JA01-01A.pdf,C17,,,,
13,GMC21X7R225K25NT,"Cal-Chip Electronics, Inc.",CAP0805 X7R 2.2UF 10% 25V,2,4713-GMC21X7R225K25NTCT-ND,0.15000,$0.30,https://calchip.com/wp-content/uploads/2026/04/GMC-Series-1.pdf,"C20, C21",,,,
14,GMC10X7R104K25NT,"Cal-Chip Electronics, Inc.",CAP0603 X7R .1UF 10% 25V,1,4713-GMC10X7R104K25NTCT-ND,0.15000,$0.15,https://calchip.com/wp-content/uploads/2026/04/GMC-Series-1.pdf,C25,,,,
15,GCM1885C2A8R0CA16D,Murata Electronics,CAP CER 8PF 100V C0G/NP0 0603,2,490-GCM1885C2A8R0CA16DCT-ND,0.15000,$0.30,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM1885C2A8R0CA16-01A.pdf,"C32, C33",,,,
16,B160-13-F,Diodes Incorporated,DIODE SCHOTTKY 60V 1A SMA,2,B160-FDICT-ND,0.44000,$0.88,https://www.diodes.com/assets/Datasheets/B120_B-B160_B.pdf,"D1, D2",,,,
17,151034BS03000,Würth Elektronik,LED BLUE CLEAR T/H,1,732-11401-ND,0.30000,$0.30,https://www.we-online.com/catalog/datasheet/151034BS03000.pdf,DS1,,,,
18,MFBA2V2012P-601-R,Eaton - Electronics Division,FERRITE BEAD 600 OHM 0805 1LN,1,283-MFBA2V2012P-601-RCT-ND,0.15000,$0.15,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-mfba2v2012-automotive-multilayer-ferrite-chip-bead-data-sheet-elx1132-en.pdf,FB1,,,,
19,RT0805DRE071ML,YAGEO,RES SMD 1M OHM 0.5% 1/8W 0805,1,311-2814-1-ND,0.15000,$0.15,https://yageogroup.com/content/datasheet/asset/file/PYU-RT_1-TO-0-01_ROHS_L,R1,,,,
20,RT0805DRE07100RL,YAGEO,RES SMD 100 OHM 0.5% 1/8W 0805,1,311-2775-1-ND,0.15000,$0.15,https://yageogroup.com/content/datasheet/asset/file/PYU-RT_1-TO-0-01_ROHS_L,R2,,,,
21,RR1220P-1072-D-M,Susumu,RES SMD 10.7KOHM 0.5% 1/10W 0805,2,408-RR1220P-1072-D-MCT-ND,0.15000,$0.30,https://www.susumu.co.jp/common/pdf/n_catalog_partition05_en.pdf,"R3, R4",,,,
22,TNPW08059K88BEEN,Vishay Dale,RES 9.88K OHM 0.1% 0.26W 0805,2,541-1894-1-ND,1.05000,$2.10,https://www.vishay.com/docs/31006/tnpw.pdf,"R5, R6",,,,
23,RT0805DRE07100KL,YAGEO,RES SMD 100K OHM 0.5% 1/8W 0805,2,311-2774-1-ND,0.15000,$0.30,https://yageogroup.com/content/datasheet/asset/file/PYU-RT_1-TO-0-01_ROHS_L,"R7, R8",,,,
24,RT0805DRE0710KL,YAGEO,RES SMD 10K OHM 0.5% 1/8W 0805,12,YAG3358CT-ND,0.03500,$0.42,https://yageogroup.com/content/datasheet/asset/file/PYU-RT_1-TO-0-01_ROHS_L,"R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R26",,,,
25,RT0805DRE071KL,YAGEO,RES SMD 1K OHM 0.5% 1/8W 0805,3,311-2813-1-ND,0.15000,$0.45,https://yageogroup.com/content/datasheet/asset/file/PYU-RT_1-TO-0-01_ROHS_L,R20,,,,
26,23ESB103MMF50NF,TE Connectivity Passive Product,POT 10K OHM 1/5W CARBON LOG,1,A105787-ND,11.08000,$11.08,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773115&DocType=DS&DocLang=English,R23,,,,
27,RT0805DRE0747RL,YAGEO,RES SMD 47 OHM 0.5% 1/8W 0805,1,311-47BCT-ND,0.15000,$0.15,https://yageogroup.com/content/datasheet/asset/file/PYU-RT_1-TO-0-01_ROHS_L,R24,,,,
28,RMCF0603ZT0R00,Stackpole Electronics Inc,RES 0 OHM JUMPER 1/10W 0603,1,RMCF0603ZT0R00CT-ND,0.15000,$0.15,https://www.seielect.com/catalog/SEI-RMCF_RMCP.pdf,R25,,,,
29,FS57003PLT2B2M1QEH,E-Switch,SWITCH PUSHBUTTON 3PDT 1A 9V,1,EG5491-ND,14.18000,$14.18,https://configured-product-images.s3.amazonaws.com/Datasheets/FS5700.pdf,SW1,,,,
30,LDL1117S33R,STMicroelectronics,IC REG LINEAR 3.3V 1.2A SOT-223,1,497-17239-1-ND,0.61000,$0.61,https://www.st.com/content/ccc/resource/technical/document/datasheet/group3/0e/5a/00/ca/10/1a/4f/a5/DM00366442/files/DM00366442.pdf/jcr:content/translations/en.DM00366442.pdf,U1,,,,
31,OPA340PA,Texas Instruments,IC OPAMP GP 1 CIRCUIT 8DIP,3,OPA340PA-ND,6.79000,$20.37,https://rocelec.widen.net/view/pdf/oeyhv4mosm/sbos073c.pdf?t.download=true&u=5oefqw,"U2, U3, U4",,,,
32,ABM8W-25.0000MHZ-8-D1X-T3,Abracon LLC,CRYSTAL 25.0000MHZ 8PF SMD,1,535-14059-1-ND,0.62000,$0.62,https://abracon.com/datasheets/ABM8W.pdf,Y1,,,,
33,111X,Switchcraft Inc.,CONN JACK MONO 6.35MM PNL MNT,2,SC2830-ND,6.75000,$13.50,http://www.switchcraft.com/assets/1/24/110x-m110x_series_cd.pdf?5406,"J5, J6",,,,
34,PREC040SAAN-RC,Sullins Connector Solutions,CONN HEADER VERT 40POS 2.54MM,1,S1012EC-40-ND,0.72000,$0.72,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2585/z%20RzCzzzSzzN-RC%2C%20ST%2C11635-B.pdf,J2,,,,
